ATR	ORPHA:808
RIPK1	OMIM:618852
RIPK1	OMIM:618108
ATRX	OMIM:301040
ATRX	ORPHA:847
ATRX	ORPHA:231401
ATRX	ORPHA:100075
ATRX	OMIM:300448
ATRX	ORPHA:96253
ATRX	OMIM:309580
CRADD	OMIM:614499
KIF1A	OMIM:614213
KIF1A	ORPHA:101010
KIF1A	OMIM:201300
KIF1A	ORPHA:2836
KIF1A	OMIM:610357
KIF1A	OMIM:614255
KIF1A	ORPHA:970
AUH	OMIM:250950
AUH	ORPHA:67046
TNFSF12	ORPHA:1572
AVP	ORPHA:30925
AVP	OMIM:125700
TBL1Y	OMIM:400047
AVPR2	ORPHA:223
AVPR2	OMIM:300539
AVPR2	OMIM:304800
AXL	OMIM:146110
ADAM9	OMIM:612775
ADAM9	ORPHA:1872
TICAM1	ORPHA:1930
TICAM1	OMIM:614850
B2M	OMIM:241600
B2M	OMIM:105200
B2M	ORPHA:314652
LRSAM1	OMIM:614436
STAC3	OMIM:255995
STAC3	ORPHA:168572
BAAT	OMIM:619232
CD164	OMIM:616969
MEIOB	OMIM:617706
MEIOB	ORPHA:399805
NKX3-2	OMIM:613330
FADD	ORPHA:306550
FADD	OMIM:613759
BARD1	OMIM:114480
BARD1	ORPHA:145
BAX	OMIM:613065
BAX	OMIM:114500
BBS1	ORPHA:791
BBS1	OMIM:209900
BBS1	ORPHA:110
BBS2	ORPHA:791
BBS2	OMIM:615981
BBS2	ORPHA:110
BBS2	OMIM:616562
MPDZ	OMIM:615219
BBS4	ORPHA:110
BBS4	OMIM:615982
BCAT2	OMIM:618850
BCHE	OMIM:617936
BCHE	ORPHA:132
BCKDHA	OMIM:248600
BCKDHB	OMIM:248600
CCND1	ORPHA:52416
CCND1	OMIM:114500
CCND1	ORPHA:29073
CCND1	OMIM:254500
CCND1	ORPHA:892
CCND1	OMIM:193300
RGS9	ORPHA:75374
RGS9	OMIM:608415
DLK1	ORPHA:254531
DLK1	ORPHA:254525
DLK1	ORPHA:96184
DLK1	ORPHA:96334
DLK1	ORPHA:254528
DLK1	ORPHA:254534
BCL2	ORPHA:545
FBP2	OMIM:619864
UROC1	ORPHA:210128
UROC1	OMIM:276880
SLC25A26	OMIM:616794
TNFRSF11A	OMIM:602080
TNFRSF11A	ORPHA:2801
TNFRSF11A	OMIM:174810
TNFRSF11A	OMIM:612301
TNFRSF11A	ORPHA:1782
TNFRSF10B	OMIM:275355
BCL6	ORPHA:545
PEX11B	OMIM:614920
PEX11B	ORPHA:772
PEX11B	ORPHA:44
PEX11B	ORPHA:912
SUCLG1	OMIM:245400
SUCLG1	ORPHA:17
HCN2	OMIM:602477
OPN1SW	OMIM:190900
OPN1SW	ORPHA:88629
SUCLA2	ORPHA:1933
SUCLA2	OMIM:612073
BCR	ORPHA:521
BCR	OMIM:613065
BCR	ORPHA:261330
BCR	OMIM:608232
BCS1L	OMIM:124000
BCS1L	ORPHA:123
BCS1L	OMIM:603358
BCS1L	ORPHA:53693
BCS1L	OMIM:262000
CCNK	OMIM:618147
DPM1	OMIM:608799
DPM1	ORPHA:79322
BANF1	OMIM:614008
DPM2	ORPHA:329178
DPM2	OMIM:615042
BDNF	ORPHA:893
BDNF	ORPHA:661
HESX1	ORPHA:3157
HESX1	ORPHA:95496
HESX1	ORPHA:226307
HESX1	OMIM:182230
HESX1	ORPHA:478
HESX1	ORPHA:95494
CFB	OMIM:615561
CFB	OMIM:612924
FGF17	ORPHA:478
FGF17	OMIM:146110
